lemma,total_count,unique_comments,words
 ,58,58, 
!,1054,476,!
"""",2096,506,""" | “ | ”"
"""-",18,7,"""-"
"""all",1,1,"""all"
"""did",1,1,"""did"
#,557,297,#
$,5611,2507,$
$1800,1,1,$1800
$450.00,1,1,$450.00
%,141,100,%
&,719,333,&
',1640,674,' | ‘
'',9,6,''
'my,1,1,'my
's,951,672,'s
'uscis,1,1,'uscis
(,4416,1785,(
(:,1,1,(:
(b)(6,1,1,(b)(6
(with,1,1,(with
),8002,2199,)
*,1201,102,*
*=(it,1,1,*=(it
+,271,198,+
",",21564,3656,","
",-",1,1,",-"
-,5316,2021,-
-$199.00,1,1,-$199.00
-(b)(6,3,3,-(b)(6
-(b)(6).then,1,1,-(b)(6).then
-)i,1,1,-)i
--,25,17,-- | —
---,1522,1235,---
----,2,2,----
-----,11,3,-----
------------------------------------------------------------------,1,1,------------------------------------------------------------------
---------------------------------------------------------------------------------------------------,1,1,---------------------------------------------------------------------------------------------------
--------------------------------purchase,1,1,--------------------------------purchase
-------------------------customer,1,1,-------------------------customer
----------------------payment,1,1,----------------------payment
-------------product,1,1,-------------product
----------from,2,2,----------from
--------from,4,2,--------from
-----<br,1,1,-----<br
--with,1,1,--with
-0000,1,1,-0000
-0400,5,3,-0400
-0500,1,1,-0500
"-05072012,as",1,1,"-05072012,as"
-0700,7,3,-0700
-0700receiv,1,1,-0700received
-10,1,1,-10
-15,1,1,-15
-159.00,1,1,-159.00
-20201,1,1,-20201
-375,1,1,-375
-40,1,1,-40
-5bd5b.htm,1,1,-5bd5b.htm
-900.26,2,1,-900.26
-=-=-=-=-=-=-=-=-=-=-=-(key,1,1,-=-=-=-=-=-=-=-=-=-=-=-(key
-===========================================product,1,1,-===========================================product
-PRON-,90532,5098,'s | em | he | her | hers | herself | him | himself | his | i | it | its | itself | me | mine | my | myself | our | ours | ourselves | she | their | theirs | them | themselves | they | us | we | you | your | yours | yourself
-agent,1,1,-agent
-all,1,1,-all
-and,1,1,-and
-application,1,1,-application
-apportion,2,2,-apportioned
-as,1,1,-as
-b(6,1,1,-b(6
-big.jpg[img][url,1,1,-big.jpg[img][url
-card,1,1,-card
-chargeability,1,1,-chargeability
-chargeability:-,1,1,-chargeability:-
-com,1,1,-coming
-computer,1,1,-computer
-consular-,2,2,-consular-
-dear,1,1,-dear
-draw-,1,1,-draw-
-dv@kcc,1,1,-dv@kcc
-ever,1,1,-ever
-fed964dc,1,1,-fed964dc
-from,2,2,-from
-get,1,1,-get
-green,1,1,-green
-houston,1,1,-houston
-i,1,1,-i
-identification-,2,2,-identification-
-illinois,1,1,-illinois
-immigration,1,1,-immigration
-in,1,1,-in
-italy,1,1,-italy
-january,1,1,-january
-john,1,1,-john
-licensed,1,1,-licensed
-lucky,2,2,-lucky
-mhappe,2,2,-mhappe
-more,1,1,-more
-mr,2,1,-mr
-naturally,1,1,-naturally
-new,1,1,-new
-number,4,2,-number
-original,1,1,-original
-payment,1,1,-payments
-pero,1,1,-pero
-rburgos,1,1,-rburgos
-region,2,2,-regions
-registration,2,2,-registrations
-same,1,1,-same
-select,2,2,-selected
-selected-,2,2,-selected-
-senior,1,1,-senior
-she,1,1,-she
-since,1,1,-since
-sparrish,1,1,-sparrish
-states,1,1,-states
-states-,3,1,-states-
-that,1,1,-that
-the,2,2,-the
-ticket,1,1,-tickets
-u.s,1,1,-u.s
-u.s.,1,1,-u.s.
-uscis,2,2,-uscis
-visa,1,1,-visa
-washington,1,1,-washington
-why,1,1,-why
-your,1,1,-your
.,38643,5213,.
.(b)(6,1,1,.(b)(6
.(i,1,1,.(i
.)process,1,1,.)processing
.-,8,4,.-
.---,1,1,.---
..,385,261,..
...,389,177,...
....,93,53,....
.....,27,21,.....
......,8,7,......
.......,4,4,.......
........,3,3,........
............,1,1,............
..............,1,1,..............
.........................,1,1,.........................
...............................,1,1,...............................
.2,1,1,.2
.55.000,2,2,.55.000
.<br,1,1,.<br
.a,1,1,.a
.according,1,1,.according
.accountshere,1,1,.accountshere
.all,2,2,.all
.although,1,1,.although
.and,4,4,.and
.b(6,1,1,.b(6
.best,1,1,.best
.but,2,2,.but
.c,1,1,.c
.called,1,1,.called
.cc,1,1,.cc
.co.uk,1,1,.co.uk
.com,18,17,.com
.companies,1,1,.companies
.consumer,8,8,.consumer
.details,1,1,.details
.dhall,1,1,.dhall
.diversity,3,3,.diversity
.due,1,1,.due
.este,1,1,.este
.finally,1,1,.finally
.for,2,2,.for
.gov,30,27,.gov
.gove,1,1,.gove
.he,11,10,.he
.i,23,21,.i
.if,2,2,.if
.im,1,1,.im
.in,4,4,.in
.it,3,3,.it
.later,2,2,.later
.mail,1,1,.mail
.master,1,1,.master
.mis,1,1,.mis
.my,6,6,.my
.myriam,1,1,.myriam
.n.b:(1,1,1,.n.b:(1
.never,1,1,.never
.now,1,1,.now
.on,3,3,.on
.one,1,1,.one
.org,5,5,.org
.pdf,3,3,.pdf
.person,1,1,.person
.please,4,4,.please
.s.,2,2,.s.
.send,2,2,.send
.she,1,1,.she
.si,1,1,.si
.so,4,4,.so
.someone,1,1,.someone
.thank,2,2,.thank
.the,7,7,.the
.their,1,1,.their
.then,3,3,.then
.they,8,8,.they
.things,1,1,.things
.this,2,2,.this
.to,1,1,.to
.waiting,1,1,.waiting
.warm,1,1,.warm
.we,1,1,.we
.when,1,1,.when
.which,1,1,.which
.y,1,1,.y
/,525,341,/
/!!tri,1,1,/!!tried
/22/2011,1,1,/22/2011
/>$49.95,1,1,/>$49.95
/>$500+hst+file,1,1,/>$500+hst+file
/>(1,1,1,/>(1
/>(b)(6,1,1,/>(b)(6
/>1,2,2,/>1
/>1.$2000.00,1,1,/>1.$2000.00
/>2,2,2,/>2
/>2.$300.00,1,1,/>2.$300.00
/>3,2,2,/>3
/>4,1,1,/>4
/>5,1,1,/>5
/>6,1,1,/>6
/><br,57,15,/><br
/>a,1,1,/>a
/>acceptance,1,1,/>acceptance
/>address,2,2,/>address
/>aft,1,1,/>after
/>after,2,2,/>after
/>as,2,2,/>as
/>asli,1,1,/>asli
/>at,1,1,/>at
/>b,1,1,/>best
/>b(6,2,2,/>b(6
/>b(6)--,1,1,/>b(6)--
/>b(6)<br,2,2,/>b(6)<br
/>bank,2,1,/>bank
/>beneficiary,3,1,/>beneficiary
/>canada,2,1,/>canada
/>cc,1,1,/>cc
/>congratulation,1,1,/>congratulations
/>country,1,1,/>country
/>dear,1,1,/>dear
/>during,1,1,/>during
/>for,2,2,/>for
/>from,1,1,/>from
/>he,1,1,/>he
/>here,1,1,/>here
/>however,1,1,/>however
/>i,18,10,/>i
/>in,1,1,/>in
/>it,2,2,/>it
/>kennedy,1,1,/>kennedy
/>london,1,1,/>london
/>migration,1,1,/>migration
/>most,1,1,/>most
/>my,2,2,/>my
/>name,2,2,/>name
/>nb,1,1,/>nb
/>needless,1,1,/>needless
/>not,1,1,/>not
/>note,1,1,/>note
/>or,1,1,/>or
/>phone,1,1,/>phone
/>please,5,5,/>please
/>processing,1,1,/>processing
/>regard,1,1,/>regards
/>replacement,1,1,/>replacement
/>sell,1,1,/>sell
/>sent,1,1,/>sent
/>she,2,1,/>she
/>since,1,1,/>since
/>so,2,2,/>so
/>soo,1,1,/>soo
/>srk,1,1,/>srk
/>subject,1,1,/>subject
/>thank,5,5,/>thank
/>then,1,1,/>then
/>they,2,2,/>they
/>to,1,1,/>to
/>today,2,2,/>today
/>tonight,1,1,/>tonight
/>total,1,1,/>total
/>transit,1,1,/>transit
/>type,1,1,/>type
/>unit,1,1,/>united
/>united,1,1,/>united
/>verification,1,1,/>verification
/>we,3,3,/>we
/>winner,1,1,/>winner
/>you,1,1,/>you
/annum,1,1,/annum
/call,1,1,/call
/family,2,2,/family
/global,1,1,/global
/h1b,1,1,/h1b
/hiringillegal,1,1,/hiringillegals
/name,1,1,/name
/ny,1,1,/ny
/permanent,1,1,/permanent
/personal,1,1,/personal
/s/,1,1,/s/
/sir,1,1,/sir
/uscis,1,1,/uscis
/when,1,1,/when
0,15,11,0
0)207,1,1,0)207
0.00,4,3,0.00
0.00i,1,1,0.00i
00,7,6,00
000,2,2,000
0000,5,5,0000
0000from,1,1,0000from
0000subject,7,7,0000subject
0000von,1,1,0000von
0001,1,1,0001
0002e,1,1,0002e
0002e)order,1,1,0002e)order
0004i,1,1,0004i
001,1,1,001
00104,1,1,00104
00105.2,1,1,00105.2
00107,1,1,00107
0012096825972,1,1,0012096825972
0018662434612,1,1,0018662434612
002,1,1,002
00225,1,1,00225
0028,1,1,0028
0030,1,1,0030
00319,1,1,00319
0035,1,1,0035
004,1,1,004
0047,1,1,0047
